Date,MSCI EMU 50 Index
2024-09-05,1656.1715285525138
2024-09-06,1629.5465190834686
2024-09-09,1643.5805866496046
2024-09-10,1633.2547690631663
2024-09-11,1639.2795222642267
2024-09-12,1657.1641750462213
2024-09-13,1668.294791605161
2024-09-16,1662.442421896861
2024-09-17,1674.1747710907666
2024-09-18,1665.1841208063413
2024-09-19,1702.5039387695265
2024-09-20,1676.7524859626558
2024-09-23,1681.967763084585
2024-09-24,1700.0929467990622
2024-09-25,1693.0407895569983
2024-09-26,1732.3472624028143
2024-09-27,1744.2794829982597
2024-09-30,1721.5737293336879
2024-10-01,1705.6641351744167
2024-10-02,1708.9543839315818
2024-10-03,1694.7801537972302
2024-10-04,1706.4170253855239
2024-10-07,1710.4945869769315
2024-10-08,1704.88698251692
2024-10-09,1716.5500165723054
